Date,Adj Close,Close,High,Low,Open,Volume
2002-08-12,418.9486389160156,505.1499938964844,512.5499877929688,505.0,508.1000061035156,7100
2002-08-13,422.1832275390625,509.04998779296875,515.0,503.5,503.5,8800
2002-08-14,426.6202697753906,514.4000244140625,515.0,502.1000061035156,502.1000061035156,18700
2002-08-15,426.6202697753906,514.4000244140625,514.4000244140625,514.4000244140625,514.4000244140625,0
2002-08-16,423.8004455566406,511.0,516.8499755859375,510.0,516.0,9400
2002-08-19,425.4591369628906,513.0,518.9500122070312,512.0499877929688,515.0,9100
2002-08-20,434.00146484375,523.2999877929688,547.3499755859375,513.2999877929688,516.5,87200
2002-08-21,431.0158996582031,519.7000122070312,533.7999877929688,518.0,530.0,26000
2002-08-22,435.2870788574219,524.8499755859375,531.0,516.5499877929688,521.0,17700
2002-08-23,466.0146789550781,561.9000244140625,572.0,535.0,535.0,701900
2002-08-26,453.1595764160156,546.4000244140625,560.0,530.0,560.0,50100
2002-08-27,457.80401611328125,552.0,558.0,546.0,546.0,29100
2002-08-28,460.5824279785156,555.3499755859375,557.0,541.0,541.0,20100
2002-08-29,459.33819580078125,553.8499755859375,567.9500122070312,548.0,555.0,138400
2002-08-30,460.3334655761719,555.0499877929688,559.9000244140625,553.0,555.0999755859375,39400
2002-09-02,463.56805419921875,558.9500122070312,561.5,557.0,558.5,22900
2002-09-03,462.9875793457031,558.25,560.5,556.0,560.0,8400
2002-09-04,463.7754211425781,559.2000122070312,560.0,552.0499877929688,552.0499877929688,7800
2002-09-05,473.7276916503906,571.2000122070312,578.0,564.0,571.0,974200
2002-09-06,468.9173278808594,565.4000244140625,570.0,562.0,570.0,14500
2002-09-09,464.5216979980469,560.0999755859375,563.7000122070312,555.6500244140625,560.0,16800
2002-09-10,464.5216979980469,560.0999755859375,560.0999755859375,560.0999755859375,560.0999755859375,0
2002-09-11,464.8952331542969,560.5499877929688,563.5,556.0,563.5,32400
2002-09-12,464.43878173828125,560.0,561.0,557.1500244140625,557.1500244140625,13200
2002-09-13,461.9920959472656,557.0499877929688,560.0,554.5,560.0,1900
2002-09-16,462.94598388671875,558.2000122070312,559.75,551.0,551.0,5300
2002-09-17,464.8121032714844,560.4500122070312,560.9500122070312,554.0999755859375,558.0,7300
2002-09-18,465.0192565917969,560.7000122070312,561.0,556.25,556.25,7800
2002-09-19,460.3334655761719,555.0499877929688,560.0,552.5,560.0,23800
2002-09-20,458.1357116699219,552.4000244140625,561.0,550.5,550.5,2900
2002-09-23,462.44842529296875,557.5999755859375,560.0,550.4000244140625,550.4000244140625,6000
2002-09-24,473.4373779296875,570.8499755859375,580.0,553.0,557.9500122070312,195900
2002-09-25,465.80743408203125,561.6500244140625,569.0,559.0,567.9500122070312,16700
2002-09-26,463.7340087890625,559.1500244140625,563.0,557.5999755859375,560.0999755859375,4700
2002-09-27,466.5951232910156,562.5999755859375,568.9000244140625,555.0,568.9000244140625,58000
2002-09-30,472.73236083984375,570.0,571.4000244140625,563.2999877929688,566.0,151700
2002-10-01,464.97784423828125,560.6500244140625,565.5499877929688,558.0,563.0,7000
2002-10-02,464.97784423828125,560.6500244140625,560.6500244140625,560.6500244140625,560.6500244140625,0
2002-10-03,467.75634765625,564.0,567.4000244140625,560.0,560.0,8900
2002-10-04,469.2076416015625,565.75,569.0,564.0,568.8499755859375,6800
2002-10-07,469.456298828125,566.0499877929688,569.5999755859375,557.0,557.0,13700
2002-10-08,469.82965087890625,566.5,568.0,556.0,556.0,8200
2002-10-09,468.3368835449219,564.7000122070312,566.9500122070312,562.0,562.0,8800
2002-10-10,469.87115478515625,566.5499877929688,569.0,562.25,562.5499877929688,37100
2002-10-11,465.43414306640625,561.2000122070312,564.0,560.0,562.5,10600
2002-10-14,464.5631408691406,560.1500244140625,575.0,560.0499877929688,575.0,1600
2002-10-15,464.5631408691406,560.1500244140625,560.1500244140625,560.1500244140625,560.1500244140625,0
2002-10-16,464.5631408691406,560.1500244140625,561.0,556.5,560.0,5600
2002-10-17,465.3926696777344,561.1500244140625,564.5,554.5,555.25,12400
2002-10-18,466.5951232910156,562.5999755859375,567.7999877929688,557.0999755859375,557.0999755859375,34500
2002-10-21,454.77679443359375,548.3499755859375,564.0,545.2000122070312,558.0999755859375,29200
2002-10-22,458.0527648925781,552.2999877929688,591.0,550.0,585.0,13400
2002-10-23,460.54083251953125,555.2999877929688,558.0,548.5,555.0,20400
2002-10-24,465.102294921875,560.7999877929688,564.5,548.0499877929688,548.0499877929688,10700
2002-10-25,464.1072998046875,559.5999755859375,563.0,547.5,547.5,30200
2002-10-28,466.5951232910156,562.5999755859375,565.0,548.9000244140625,561.5,31600
2002-10-29,465.0192565917969,560.7000122070312,562.6500244140625,556.5,556.5,4300
2002-10-30,461.1214599609375,556.0,562.9000244140625,549.0499877929688,549.0499877929688,16900
2002-10-31,456.55987548828125,550.5,554.0499877929688,550.0,553.1500244140625,25100
2002-11-01,442.6683044433594,533.75,547.75,521.0499877929688,541.0999755859375,49900
2002-11-04,444.1612243652344,535.5499877929688,537.0,529.6500244140625,533.2000122070312,4000
2002-11-05,440.6778869628906,531.3499755859375,544.9000244140625,530.0499877929688,544.9000244140625,5300
2002-11-06,440.6778869628906,531.3499755859375,531.3499755859375,531.3499755859375,531.3499755859375,0
2002-11-07,441.8388977050781,532.75,535.5499877929688,525.0,531.0,32100
2002-11-08,436.4066467285156,526.2000122070312,530.0,525.0,529.1500244140625,6900
2002-11-11,435.03814697265625,524.5499877929688,528.0,522.5999755859375,525.25,5800
2002-11-12,438.02392578125,528.1500244140625,554.0,524.5,554.0,12600
2002-11-13,430.9328308105469,519.5999755859375,533.7999877929688,519.0,529.9500122070312,16700
2002-11-14,427.7397766113281,515.75,520.0,513.0499877929688,516.0999755859375,30500
2002-11-15,426.9105529785156,514.75,517.9000244140625,513.0,515.0,13400
2002-11-18,428.69366455078125,516.9000244140625,524.2999877929688,514.0,516.0,15400
2002-11-19,428.69366455078125,516.9000244140625,516.9000244140625,516.9000244140625,516.9000244140625,0
2002-11-20,429.4400634765625,517.7999877929688,527.5,516.0999755859375,522.0,24100
2002-11-21,427.9472351074219,516.0,520.0,514.0,520.0,6000
2002-11-22,429.3570556640625,517.7000122070312,529.0,514.2000122070312,516.0,13400
